metric,mean,std,min,max,median
train_loss,0.06807544316010793,0.015174199083191366,0.055160025284895976,0.157909702389471,0.06483316335887197
train_dice,0.9289266127384412,0.015384407021655671,0.8363869545921203,0.9415784867540482,0.9325692052802732
train_iou,0.8741194480062525,0.022572238066420607,0.7422049812251522,0.8933368777075121,0.8795424101333464
val_loss,0.0600041079881247,0.01449913883090398,0.052669836539113356,0.15636457679811827,0.0564987226528768
val_dice,0.9403372821882362,0.013796711581438085,0.848235215493543,0.9482415817573875,0.9434309409942456
val_iou,0.8945108294216236,0.02133352031645108,0.7549073262485916,0.9069005971302291,0.8991736480278407
lr,0.0006939655172413793,0.00033329307624522945,0.000125,0.001,0.001
