step,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr
1,0.2217555067539215,0.8378151942491532,0.7508195397257805,0.10825428641782311,0.9228100854598595,0.8676815257219973,0.0002
2,0.11902141240239143,0.9037417628765106,0.8387132768630982,0.08555575751675341,0.9260712461081332,0.872754736931738,0.0002
3,0.09652195477485656,0.9110824100971222,0.8499430539608002,0.07229267344800774,0.9372434100942936,0.8903088174656242,0.0002
4,0.08565763476490974,0.918232625246048,0.86004909157753,0.06516668592354732,0.9389511420579252,0.8932811300792618,0.0002
5,0.08278292262554168,0.9199160664081574,0.8632407195568085,0.06059982232794076,0.9406363353162944,0.895737487517907,0.0002
6,0.07780523057281971,0.9233322942256927,0.86766073179245,0.061617720031928634,0.9383949291801262,0.892671745515869,0.0002
7,0.07857410706579686,0.9218194038867951,0.8657188313007355,0.06062336515508845,0.9398951236597316,0.8951056386658294,0.0002
8,0.0761113028973341,0.9241949396133423,0.8689444425106049,0.06182366037023757,0.938722940143235,0.8925747022538366,0.0002
9,0.07421594788134098,0.925658147096634,0.8712394614219665,0.05598671245806945,0.9449689616105276,0.9031827193415332,0.0002
10,0.07156567688286304,0.9288178851604462,0.8757745847702026,0.05576787299723801,0.9446615495843563,0.902626525439664,0.0002
11,0.07287503162026406,0.9268521840572357,0.8731157491207123,0.05648463843260221,0.9432058299254039,0.9002807864885845,0.0002
12,0.07433003655076027,0.9249635968208313,0.8709883332252503,0.056380923781655504,0.9442155912607729,0.9021828914592842,0.0002
13,0.07183596488833427,0.9282021193504334,0.8752182128429413,0.06025506060815857,0.938804536998391,0.8926664608681273,0.0002
14,0.06926185752451419,0.9304323875904084,0.8785358850955963,0.058092021857371584,0.9440459565607136,0.9017956284824722,0.0002
15,0.06791490769386291,0.9312751598358154,0.8796953392028809,0.05600211568578275,0.9447191252322968,0.902685407392993,0.0002
16,0.065919323310256,0.933023175239563,0.8827487671375275,0.053119408163779275,0.947376156697968,0.9067837384170638,0.0001
17,0.0639418281018734,0.9349453408718109,0.8855438539981842,0.051749319395797695,0.9478818827165577,0.9076456699423685,0.0001
18,0.06389592961966992,0.9349717431068421,0.8852916600704193,0.05197007977171334,0.9488330359111528,0.9093280191906912,0.0001
19,0.06308950869739055,0.9356606981754303,0.8864202768802643,0.052574244400341356,0.9468700401559323,0.9060540849458196,0.0001
20,0.06294205358624458,0.9360275721549988,0.8869996256828309,0.05308299690499872,0.9482447309289388,0.908350003158261,0.0001
21,0.06221151757240295,0.9361955845355987,0.8870917499065399,0.05167195815109683,0.9480731709750588,0.9081155576272877,0.0001
22,0.06129192271828651,0.9371551716327667,0.888431437253952,0.05343683323490168,0.9472092835608119,0.9066930388857029,0.0001
23,0.0623815997838974,0.9360979726314544,0.8868632919788361,0.052866530416908857,0.9477711328251395,0.9077045351802232,0.0001
24,0.06242001655697822,0.9359316651821137,0.8870152432918549,0.05178027207816313,0.9480713884273689,0.9081896276412134,0.0001
25,0.06042379193007946,0.9380119094848632,0.8898327412605286,0.051016276192938734,0.9488134675040216,0.9093305776695053,5e-05
26,0.059529882371425626,0.9387132449150085,0.8907591261863709,0.0509801701997628,0.9490840410044094,0.9098945070288614,5e-05
27,0.05902481849491596,0.939231365442276,0.8918182482719421,0.05208590228162602,0.9484675260717997,0.9087526832749981,5e-05
28,0.05777303223311901,0.9405596988201141,0.8932940275669098,0.05224980064807181,0.9478416120458744,0.9074374996497484,5e-05
29,0.058117588981986046,0.9401197555065155,0.8931482064723969,0.051439708117358464,0.9484391843011517,0.9088592258042204,5e-05
30,0.05799209867417812,0.9403695104122162,0.8932377178668975,0.051780859752002355,0.9498022099930845,0.9109662573137683,5e-05
31,0.058822396785020825,0.9391026582717895,0.8917322344779969,0.050445971179552775,0.9494091675666991,0.9102755804618675,5e-05
32,0.057947650730609895,0.9400319819450378,0.8930743441581727,0.051769469152697305,0.9491849525008135,0.9098432895071255,5e-05
33,0.057628740176558495,0.9407905550003052,0.8940184333324432,0.05317271441711994,0.9477966559266378,0.907819662086978,5e-05
34,0.05729292269051075,0.9410875768661499,0.8942517125606537,0.05267918068997399,0.947913077836503,0.9078513042417591,5e-05
35,0.05631601873040199,0.9419735572338104,0.8956482119560242,0.05410394706798647,0.9475762509181352,0.9073619479071833,5e-05
36,0.05711425790190697,0.9413476300239563,0.8948844444751739,0.05087278942073772,0.9487512352580796,0.9089677777000054,5e-05
37,0.05600543290376663,0.9422616970539093,0.8961534013748169,0.05023365728408396,0.9498651475011708,0.9109350464896052,2.5e-05
38,0.05640663841366768,0.941657009601593,0.8954968595504761,0.05113868513507044,0.9490132521607443,0.9098697023953268,2.5e-05
39,0.05656399969756603,0.9417143061161041,0.8955175058841706,0.05176863773631121,0.9494936807664807,0.9105867073683444,2.5e-05
40,0.05530274488031864,0.9431068434715271,0.8974545946121216,0.05203226697584707,0.9494273899320119,0.9104002109782663,2.5e-05
