metric,mean,std,min,max,median
train_loss,0.07076463026106358,0.0272308270976886,0.05530274488031864,0.2217555067539215,0.06268103507161141
train_dice,0.9306606100052596,0.017392113533774234,0.8378151942491532,0.9431068434715271,0.9359796186685563
train_iou,0.8791596242293716,0.024568952705877844,0.7508195397257805,0.8974545946121216,0.8869314588308335
val_loss,0.05687312489452617,0.010578205868940828,0.05023365728408396,0.10825428641782311,0.052974763660953786
val_dice,0.9449639109169652,0.005984775942018893,0.9228100854598595,0.9498651475011708,0.9477838943758886
val_iou,0.9030888114622728,0.009655269946448995,0.8676815257219973,0.9109662573137683,0.9075415847960584
lr,0.000115,6.955213871621778e-05,2.5e-05,0.0002,0.0001
