metric,mean,std,min,max,median
train_loss,0.0937665934494104,0.03266948719692516,0.07452196295559406,0.34244971337914465,0.08472339661046863
train_dice,0.9090038629302944,0.036064316194846686,0.6121159616114378,0.9265003423690796,0.9180683547258377
train_iou,0.8482116524847243,0.04465136182382105,0.5000397320912957,0.8729414832592011,0.8606483036279678
val_loss,0.08309275010483912,0.02260353527447357,0.06890187802131542,0.2500426310027193,0.07484165169373005
val_dice,0.9213318169418457,0.022143070136027718,0.7527734567662199,0.9348588057025939,0.9285124407675928
val_iou,0.8683265780006297,0.030652441532545628,0.6434401047087002,0.8880344474030112,0.8786576479494929
lr,0.00028941761363636366,0.00020098271077550155,1.5625e-05,0.0005,0.00025
