step,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr
1,0.23213937351634573,0.8878072408306135,0.8146200827271729,0.15072295179743014,0.937213594090201,0.8903886799564856,2.0800000000000004e-05
2,0.13575826161406138,0.9168346370612229,0.8566527226707199,0.07929834408198526,0.9429072370072324,0.8991327875269626,4.0600000000000004e-05
3,0.09405517351388425,0.920749228764009,0.8633051653961082,0.06417136461829057,0.943031082848113,0.8990037123600166,6.04e-05
4,0.08597143596832778,0.919970546628569,0.8623770794549307,0.06461087457776189,0.9378121183541959,0.8914182516867053,8.020000000000001e-05
5,0.08046715454171438,0.922848073157159,0.866288585113836,0.06379821569753621,0.941225736738441,0.8963937774865689,0.0001
6,0.08055859645149419,0.9218728870719105,0.8647818548398299,0.06713313165449811,0.9330841582454369,0.8836820494391009,0.0001
7,0.07775703457544197,0.9234958026971255,0.8676882335296521,0.06288226847601924,0.9402028348393545,0.8951961042995225,9.999900307360887e-05
8,0.07537113030540657,0.9259052622866083,0.871356331712597,0.06093617953070088,0.9388665562856221,0.8920006791869561,9.999601233459156e-05
9,0.07445232413214195,0.926667152450873,0.8725832253545671,0.05810364401023723,0.9429722665074819,0.8985561354312592,9.999102790341455e-05
10,0.07340731356780489,0.927878113446774,0.8745972525763821,0.06426568252560562,0.9369624356428782,0.8889954010407606,9.998404998085002e-05
11,0.07215960454065483,0.9292863070309817,0.876515887164093,0.05803711486686609,0.9434372454941153,0.8991170397061787,9.997507884796768e-05
12,0.07106424282704081,0.9291151867998945,0.8763550004580399,0.06088190576704795,0.9407549263712413,0.896184457038453,9.996411486612347e-05
13,0.07015039405360311,0.9304794402091534,0.8780585951678879,0.06672009794662397,0.9343661868762589,0.8869808864093827,9.995115847694494e-05
14,0.06988025016405365,0.9311854511529177,0.8793405225048294,0.05641888209178062,0.9453713583375165,0.9028118973125716,9.993621020231359e-05
15,0.06791341711081318,0.9311695411191001,0.8793613089250398,0.05732575786707109,0.9424365275872206,0.8986377735099869,9.991927064434372e-05
16,0.06717011170716701,0.9326999045454419,0.881582823488024,0.05579598627597867,0.9435312984113445,0.8997570589155018,9.990034048535828e-05
17,0.06798008764413865,0.9330944386752812,0.8823461180085783,0.05357727447632485,0.9470067137253737,0.9053692525018475,9.98794204878613e-05
18,0.06787339798253882,0.932623289264999,0.8815500726709357,0.05845229652990957,0.9428095762839098,0.8980137625497259,9.985651149450723e-05
19,0.06643220611832121,0.9343245852958192,0.8839756684167521,0.06237255508998435,0.9403529039281096,0.8946265123799414,9.983161442806699e-05
20,0.06686940998188802,0.9338011615402573,0.8835582650684334,0.05397814856897928,0.9480327035257679,0.9067451535703656,9.980473029139078e-05
21,0.06575190467754384,0.9338521999972207,0.8834200320127127,0.053308152465406294,0.9468988552540838,0.904514099190573,9.977586016736768e-05
22,0.06529168863050439,0.9346968528929052,0.8847498916662656,0.05725795094169186,0.9441982846774027,0.9013736045170211,9.974500521888212e-05
23,0.06531166385665729,0.9347522816398404,0.8851406354230125,0.053451165340342624,0.9482488591157033,0.9075470779708283,9.97121666887669e-05
24,0.0633306100012755,0.9356748055030297,0.88585635590982,0.05667346485048354,0.9429525850775713,0.8990768713508538,9.967734589975323e-05
25,0.06412629083731211,0.935280506189291,0.8856528866719771,0.05344363065536865,0.9466645320256551,0.9046092012566245,9.964054425441743e-05
26,0.06391127395083557,0.9359533891275331,0.8864125699310988,0.052986634841296607,0.9473390274062128,0.9059913251809255,9.960176323512436e-05
27,0.06282267555199958,0.9366826210524534,0.8877416607978699,0.05717085534892605,0.9426861667109583,0.8983499018731945,9.956100440396788e-05
28,0.06272322222493686,0.9373087599858656,0.8885047820124117,0.05382036049283312,0.9460996786753336,0.9039753088932075,9.951826940270773e-05
29,0.06273895245953487,0.9377584000388821,0.8892531883526039,0.06545478314674365,0.932038910196213,0.8863468392047578,9.947355995270355e-05
30,0.06155338876515061,0.9375840647296829,0.8890032430033346,0.05394695860290986,0.946090300342518,0.9040877503192354,9.942687785484544e-05
31,0.06270429189526266,0.9372646407290296,0.8885307700245768,0.052701683324611115,0.9480945283543326,0.9074517739509156,9.937822498948152e-05
32,0.061192150411477964,0.9385316774442598,0.8905160340157661,0.052174922924659806,0.9479802205058153,0.9071037174460893,9.932760331634211e-05
33,0.0611016586614581,0.9385553751434836,0.8903089474131177,0.05384794589663724,0.946948795142526,0.905040850955807,9.927501487446081e-05
