metric,mean,std,min,max,median
train_loss,0.07636335431032702,0.030708015658434954,0.0611016586614581,0.23213937351634573,0.06787339798253882
train_dice,0.9298698128637026,0.009473722634342402,0.8878072408306135,0.9385553751434836,0.9326999045454419
train_iou,0.8773329028025144,0.014280534194512778,0.8146200827271729,0.8905160340157661,0.881582823488024
val_loss,0.06168852076613763,0.016769627905089738,0.052174922924659806,0.15072295179743014,0.05732575786707109
val_dice,0.9426854001389133,0.004392122740755251,0.932038910196213,0.9482488591157033,0.9429722665074819
val_iou,0.8987418089217675,0.00650669721955134,0.8836820494391009,0.9075470779708283,0.8990768713508538
lr,9.379096314473223e-05,1.783093237662825e-05,2.0800000000000004e-05,0.0001,9.977586016736768e-05
